"table_name","column_name","data_type","length","precision_scale","nullable","default_value","primary_key","foreign_key","foreign_table","foreign_column","classification","approvalStatus","validation_rule"
"organizations","id","BIGINT UNSIGNED","N/A","N/A","NO","N/A","YES","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL; PRIMARY KEY"
"organizations","code","VARCHAR","80","N/A","NO","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL"
"organizations","name","VARCHAR","180","N/A","NO","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL"
"organizations","description","TEXT","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","N/A"
"organizations","status","VARCHAR","40","N/A","NO","active","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL; ENUM/CHECK; ENUM/CHECK common_status"
"organizations","status_changed_at","DATETIME","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","Required by service when status is changed"
"organizations","status_changed_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P0_CORE","APPROVED","FK user_profiles.id; set null if user profile is removed"
"organizations","is_active","TINYINT","1","N/A","NO","1","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL"
"organizations","metadata_json","JSON","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","JSON_VALID"
"organizations","created_at","TIMESTAMP","N/A","N/A","NO","CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL; valid timestamp"
"organizations","created_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P0_CORE","APPROVED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"organizations","updated_at","TIMESTAMP","N/A","N/A","YES","CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP","NO","NO","N/A","N/A","P0_CORE","APPROVED","valid timestamp"
"organizations","updated_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P0_CORE","APPROVED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"organizations","deleted_at","TIMESTAMP","N/A","N/A","YES","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","valid timestamp"
"organizations","deleted_by","BIGINT UNSIGNED","N/A","N/A","YES","N/A","NO","YES","user_profiles","id","P0_CORE","APPROVED","FK user_profiles.id; FOREIGN KEY to user_profiles.id"
"organizations","base_currency","VARCHAR","3","N/A","NO","'THB'","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL"
"organizations","default_locale","VARCHAR","20","N/A","NO","'th-TH'","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL"
"organizations","legal_name","VARCHAR","220","N/A","YES","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","N/A"
"organizations","tax_id","VARCHAR","40","N/A","YES","N/A","NO","NO","N/A","N/A","P0_CORE","APPROVED","N/A"
"organizations","timezone","VARCHAR","80","N/A","NO","'Asia/Bangkok'","NO","NO","N/A","N/A","P0_CORE","APPROVED","NOT NULL"
