"ConstraintID","TableName","ConstraintName","ConstraintType","Columns","Rule","ErrorHandling","SuggestedDDLOrNote"
"CON-00001","organizations","pk_organizations","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00002","organizations","uk_organizations_code","UNIQUE","code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_organizations_code` (`code`)"
"CON-00003","organizations","uk_organizations_legal_name","UNIQUE","legal_name","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_organizations_legal_name` (`legal_name`)"
"CON-00004","organizations","fk_organizations_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00005","organizations","fk_organizations_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00006","organizations","fk_organizations_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00007","organizations","fk_organizations_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00008","organizations","chk_organizations_status","CHECK","status","Allowed values: draft, active, inactive, archived, deleted","","CHECK (`status` IN ('draft', 'active', 'inactive', 'archived', 'deleted'))"
"CON-00009","organizations","chk_organizations_metadata_json_json","JSON VALIDATION","metadata_json","JSON column must contain valid JSON.","","CHECK (JSON_VALID(`metadata_json`))"
"CON-00010","branches","pk_branches","PRIMARY KEY","id","Every table has a surrogate primary key.","","PRIMARY KEY (`id`)"
"CON-00011","branches","uk_branches_org_code","UNIQUE","organization_id, code","Business key must be unique within its intended scope.","","UNIQUE KEY `uk_branches_org_code` (`organization_id`, `code`)"
"CON-00012","branches","fk_branches_organization_id","FOREIGN KEY","organization_id","Must reference organizations.id.","","FOREIGN KEY (`organization_id`) REFERENCES `organizations` (`id`)"
"CON-00013","branches","fk_branches_status_changed_by","FOREIGN KEY","status_changed_by","Must reference user_profiles.id.","","FOREIGN KEY (`status_changed_by`) REFERENCES `user_profiles` (`id`)"
"CON-00014","branches","fk_branches_created_by","FOREIGN KEY","created_by","Must reference user_profiles.id.","","FOREIGN KEY (`created_by`) REFERENCES `user_profiles` (`id`)"
"CON-00015","branches","fk_branches_updated_by","FOREIGN KEY","updated_by","Must reference user_profiles.id.","","FOREIGN KEY (`updated_by`) REFERENCES `user_profiles` (`id`)"
"CON-00016","branches","fk_branches_deleted_by","FOREIGN KEY","deleted_by","Must reference user_profiles.id.","","FOREIGN KEY (`deleted_by`) REFERENCES `user_profiles` (`id`)"
"CON-00017","branches","fk_branches_parent_branch_id","FOREIGN KEY","parent_branch_id","Must reference branches.id.","","FOREIGN KEY (`parent_branch_id`) REFERENCES `branches` (`id`)"
