"EnumGroup","Value","LabelTH","LabelEN","Meaning","StorageColumn","SortOrder","Default","Terminal","Notes"
"common_status","draft","ฉบับร่าง","draft","หมายถึง ฉบับร่าง สำหรับกลุ่ม common_status","Most master/config tables","1","NO","NO","Use deleted only for soft-delete recovery flows; deleted_at is still the source of truth."
"common_status","active","ใช้งาน","active","หมายถึง ใช้งาน สำหรับกลุ่ม common_status","Most master/config tables","2","YES","NO","Use deleted only for soft-delete recovery flows; deleted_at is still the source of truth."
"common_status","inactive","ไม่ใช้งาน","inactive","หมายถึง ไม่ใช้งาน สำหรับกลุ่ม common_status","Most master/config tables","3","NO","NO","Use deleted only for soft-delete recovery flows; deleted_at is still the source of truth."
"common_status","archived","เก็บถาวร","archived","หมายถึง เก็บถาวร สำหรับกลุ่ม common_status","Most master/config tables","4","NO","YES","Use deleted only for soft-delete recovery flows; deleted_at is still the source of truth."
"common_status","deleted","ลบแล้ว","deleted","หมายถึง ลบแล้ว สำหรับกลุ่ม common_status","Most master/config tables","5","NO","YES","Use deleted only for soft-delete recovery flows; deleted_at is still the source of truth."
"record_lifecycle_status","new","รายการใหม่","new","หมายถึง รายการใหม่ สำหรับกลุ่ม record_lifecycle_status","Governed business documents and report definitions","1","YES","NO","Separates governance lifecycle from active/inactive operational status."
"record_lifecycle_status","validated","ตรวจสอบแล้ว","validated","หมายถึง ตรวจสอบแล้ว สำหรับกลุ่ม record_lifecycle_status","Governed business documents and report definitions","2","NO","NO","Separates governance lifecycle from active/inactive operational status."
"record_lifecycle_status","approved","อนุมัติแล้ว","approved","หมายถึง อนุมัติแล้ว สำหรับกลุ่ม record_lifecycle_status","Governed business documents and report definitions","3","NO","NO","Separates governance lifecycle from active/inactive operational status."
"record_lifecycle_status","published","เผยแพร่แล้ว","published","หมายถึง เผยแพร่แล้ว สำหรับกลุ่ม record_lifecycle_status","Governed business documents and report definitions","4","NO","NO","Separates governance lifecycle from active/inactive operational status."
"record_lifecycle_status","locked","ล็อกแล้ว","locked","หมายถึง ล็อกแล้ว สำหรับกลุ่ม record_lifecycle_status","Governed business documents and report definitions","5","NO","NO","Separates governance lifecycle from active/inactive operational status."
"record_lifecycle_status","retired","เลิกใช้แล้ว","retired","หมายถึง เลิกใช้แล้ว สำหรับกลุ่ม record_lifecycle_status","Governed business documents and report definitions","6","NO","YES","Separates governance lifecycle from active/inactive operational status."
"dashboard_status","draft","ฉบับร่าง","draft","หมายถึง ฉบับร่าง สำหรับกลุ่ม dashboard_status","bi_dashboards","1","YES","NO","Published dashboards can create share snapshots and approval requests."
"dashboard_status","published","เผยแพร่แล้ว","published","หมายถึง เผยแพร่แล้ว สำหรับกลุ่ม dashboard_status","bi_dashboards","2","NO","NO","Published dashboards can create share snapshots and approval requests."
"dashboard_status","archived","เก็บถาวร","archived","หมายถึง เก็บถาวร สำหรับกลุ่ม dashboard_status","bi_dashboards","3","NO","YES","Published dashboards can create share snapshots and approval requests."
"widget_type","chart","ชาร์ต","chart","หมายถึง ชาร์ต สำหรับกลุ่ม widget_type","dashboard_widgets","1","YES","NO","Mirrors DashboardCanvasBuilder ELEMENTS and WIDGET_LABELS."
