"TableName","IndexName","Columns","IndexType","Unique","Purpose","Priority","SuggestedDDL"
"api_request_logs","idx_api_request_logs_org_created","organization_id, created_at","BTREE","NO","Tenant timeline and retention filtering.","recommended","KEY `idx_api_request_logs_org_created` (`organization_id`, `created_at`)"
"api_request_logs","idx_api_request_logs_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_api_request_logs_created_by` (`created_by`)"
"api_request_logs","idx_api_request_logs_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_api_request_logs_organization_id` (`organization_id`)"
"api_request_logs","idx_api_request_logs_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_api_request_logs_updated_by` (`updated_by`)"
"api_request_logs","idx_api_request_logs_user_id","user_id","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_api_request_logs_user_id` (`user_id`)"
"api_request_logs","pk_api_request_logs","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_api_request_logs` (`id`)"
"asset_certifications","idx_asset_certifications_asset_table_asset_id","organization_id, asset_table, asset_id","BTREE","NO","Polymorphic entity lookup.","required","KEY `idx_asset_certifications_asset_table_asset_id` (`organization_id`, `asset_table`, `asset_id`)"
"asset_certifications","idx_asset_certifications_certified_by","certified_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_asset_certifications_certified_by` (`certified_by`)"
"asset_certifications","idx_asset_certifications_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_asset_certifications_created_by` (`created_by`)"
"asset_certifications","idx_asset_certifications_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_asset_certifications_deleted_by` (`deleted_by`)"
"asset_certifications","idx_asset_certifications_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_asset_certifications_organization_id` (`organization_id`)"
"asset_certifications","idx_asset_certifications_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_asset_certifications_status_changed_by` (`status_changed_by`)"
"asset_certifications","idx_asset_certifications_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_asset_certifications_updated_by` (`updated_by`)"
"asset_certifications","pk_asset_certifications","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_asset_certifications` (`id`)"
"audit_logs","idx_audit_logs_org_branch","organization_id, branch_id","BTREE","NO","Tenant and branch scoped filtering.","recommended","KEY `idx_audit_logs_org_branch` (`organization_id`, `branch_id`)"
"audit_logs","idx_audit_logs_org_created","organization_id, created_at","BTREE","NO","Tenant timeline and retention filtering.","recommended","KEY `idx_audit_logs_org_created` (`organization_id`, `created_at`)"
"audit_logs","idx_audit_logs_actor_user_id","actor_user_id","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_audit_logs_actor_user_id` (`actor_user_id`)"
"audit_logs","idx_audit_logs_branch_id","branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_audit_logs_branch_id` (`branch_id`)"
"audit_logs","idx_audit_logs_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_audit_logs_created_by` (`created_by`)"
"audit_logs","idx_audit_logs_entity_type_entity_id","organization_id, entity_type, entity_id","BTREE","NO","Polymorphic entity lookup.","required","KEY `idx_audit_logs_entity_type_entity_id` (`organization_id`, `entity_type`, `entity_id`)"
"audit_logs","idx_audit_logs_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_audit_logs_organization_id` (`organization_id`)"
"audit_logs","idx_audit_logs_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_audit_logs_updated_by` (`updated_by`)"
"audit_logs","pk_audit_logs","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_audit_logs` (`id`)"
"bi_dashboards","idx_bi_dashboards_org_branch","organization_id, branch_id","BTREE","NO","Tenant and branch scoped filtering.","recommended","KEY `idx_bi_dashboards_org_branch` (`organization_id`, `branch_id`)"
"bi_dashboards","idx_bi_dashboards_org_created","organization_id, created_at","BTREE","NO","Tenant timeline and retention filtering.","recommended","KEY `idx_bi_dashboards_org_created` (`organization_id`, `created_at`)"
"bi_dashboards","idx_bi_dashboards_org_status","organization_id, status","BTREE","NO","Tenant status filtering.","recommended","KEY `idx_bi_dashboards_org_status` (`organization_id`, `status`)"
"bi_dashboards","idx_bi_dashboards_branch_id","branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_bi_dashboards_branch_id` (`branch_id`)"
"bi_dashboards","idx_bi_dashboards_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_dashboards_created_by` (`created_by`)"
"bi_dashboards","idx_bi_dashboards_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_dashboards_deleted_by` (`deleted_by`)"
"bi_dashboards","idx_bi_dashboards_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_bi_dashboards_organization_id` (`organization_id`)"
"bi_dashboards","idx_bi_dashboards_project_id","project_id","BTREE","NO","Foreign key lookup to bi_projects.","required","KEY `idx_bi_dashboards_project_id` (`project_id`)"
"bi_dashboards","idx_bi_dashboards_sheet_id","sheet_id","BTREE","NO","Foreign key lookup to bi_sheets.","required","KEY `idx_bi_dashboards_sheet_id` (`sheet_id`)"
"bi_dashboards","idx_bi_dashboards_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_dashboards_status_changed_by` (`status_changed_by`)"
"bi_dashboards","idx_bi_dashboards_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_dashboards_updated_by` (`updated_by`)"
"bi_dashboards","pk_bi_dashboards","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_bi_dashboards` (`id`)"
"bi_dashboards","uk_bi_dashboards_organization_id_project_id_name","organization_id, project_id, name","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_bi_dashboards_organization_id_project_id_name` (`organization_id`, `project_id`, `name`)"
"bi_project_members","idx_bi_project_members_branch_id","branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_bi_project_members_branch_id` (`branch_id`)"
"bi_project_members","idx_bi_project_members_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_project_members_created_by` (`created_by`)"
"bi_project_members","idx_bi_project_members_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_project_members_deleted_by` (`deleted_by`)"
"bi_project_members","idx_bi_project_members_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_bi_project_members_organization_id` (`organization_id`)"
"bi_project_members","idx_bi_project_members_project_id","project_id","BTREE","NO","Foreign key lookup to bi_projects.","required","KEY `idx_bi_project_members_project_id` (`project_id`)"
"bi_project_members","idx_bi_project_members_role_id","role_id","BTREE","NO","Foreign key lookup to roles.","required","KEY `idx_bi_project_members_role_id` (`role_id`)"
"bi_project_members","idx_bi_project_members_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_project_members_status_changed_by` (`status_changed_by`)"
"bi_project_members","idx_bi_project_members_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_project_members_updated_by` (`updated_by`)"
"bi_project_members","idx_bi_project_members_user_id","user_id","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_project_members_user_id` (`user_id`)"
"bi_project_members","pk_bi_project_members","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_bi_project_members` (`id`)"
"bi_project_members","uk_bi_project_members_organization_id_project_id_user_id","organization_id, project_id, user_id","BTREE","YES","Business uniqueness rule.","required","UNIQUE KEY `uk_bi_project_members_organization_id_project_id_user_id` (`organization_id`, `project_id`, `user_id`)"
"bi_projects","idx_bi_projects_org_branch","organization_id, branch_id","BTREE","NO","Tenant and branch scoped filtering.","recommended","KEY `idx_bi_projects_org_branch` (`organization_id`, `branch_id`)"
"bi_projects","idx_bi_projects_org_created","organization_id, created_at","BTREE","NO","Tenant timeline and retention filtering.","recommended","KEY `idx_bi_projects_org_created` (`organization_id`, `created_at`)"
"bi_projects","idx_bi_projects_org_status","organization_id, status","BTREE","NO","Tenant status filtering.","recommended","KEY `idx_bi_projects_org_status` (`organization_id`, `status`)"
"bi_projects","idx_bi_projects_active_dashboard_id","active_dashboard_id","BTREE","NO","Foreign key lookup to bi_dashboards.","required","KEY `idx_bi_projects_active_dashboard_id` (`active_dashboard_id`)"
"bi_projects","idx_bi_projects_active_sheet_id","active_sheet_id","BTREE","NO","Foreign key lookup to bi_sheets.","required","KEY `idx_bi_projects_active_sheet_id` (`active_sheet_id`)"
"bi_projects","idx_bi_projects_branch_id","branch_id","BTREE","NO","Foreign key lookup to branches.","required","KEY `idx_bi_projects_branch_id` (`branch_id`)"
"bi_projects","idx_bi_projects_created_by","created_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_projects_created_by` (`created_by`)"
"bi_projects","idx_bi_projects_deleted_by","deleted_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_projects_deleted_by` (`deleted_by`)"
"bi_projects","idx_bi_projects_organization_id","organization_id","BTREE","NO","Foreign key lookup to organizations.","required","KEY `idx_bi_projects_organization_id` (`organization_id`)"
"bi_projects","idx_bi_projects_owner_user_id","owner_user_id","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_projects_owner_user_id` (`owner_user_id`)"
"bi_projects","idx_bi_projects_status_changed_by","status_changed_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_projects_status_changed_by` (`status_changed_by`)"
"bi_projects","idx_bi_projects_updated_by","updated_by","BTREE","NO","Foreign key lookup to user_profiles.","required","KEY `idx_bi_projects_updated_by` (`updated_by`)"
"bi_projects","pk_bi_projects","id","BTREE","YES","Primary lookup and relationship target.","required","UNIQUE KEY `pk_bi_projects` (`id`)"
"bi_projects","uk_bi_projects_org_code","organization_id, code","BTREE","YES","Tenant-scoped business code uniqueness.","required","UNIQUE KEY `uk_bi_projects_org_code` (`organization_id`, `code`)"
