"RelationshipID","FromTable","FromColumn","ToTable","ToColumn","Required","OnUpdate","OnDelete","BusinessRule"
"REL-0001","organizations","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0002","organizations","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0003","organizations","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0004","organizations","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0005","branches","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0006","branches","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0007","branches","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0008","branches","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0009","branches","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0010","branches","parent_branch_id","branches","id","NO","CASCADE","SET NULL","Must reference an existing branches record unless nullable."
"REL-0011","departments","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0012","departments","branch_id","branches","id","NO","CASCADE","SET NULL","Must reference an existing branches record unless nullable."
"REL-0013","departments","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0014","departments","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0015","departments","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0016","departments","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0017","departments","parent_department_id","departments","id","NO","CASCADE","SET NULL","Must reference an existing departments record unless nullable."
"REL-0018","teams","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0019","teams","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
"REL-0020","teams","created_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0021","teams","updated_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0022","teams","deleted_by","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0023","teams","department_id","departments","id","NO","CASCADE","SET NULL","Must reference an existing departments record unless nullable."
"REL-0024","teams","team_lead_user_id","user_profiles","id","NO","CASCADE","SET NULL","Must reference an existing user_profiles record unless nullable."
"REL-0025","positions","organization_id","organizations","id","YES","CASCADE","RESTRICT","Must reference an existing organizations record unless nullable."
"REL-0026","positions","status_changed_by","user_profiles","id","NO","CASCADE","SET NULL","Status audit strategy Option A: อ้างผู้ใช้ภายนอกที่เปลี่ยนสถานะล่าสุด"
